date,club,country,elo
2000-07-01,Sunderland,ENG,1712.08
2000-07-01,Tenerife,ESP,1592.64
2000-07-01,Torino,ITA,1641.32
2000-07-01,Tottenham,ENG,1676.75
2000-07-01,Toulouse,FRA,1551.65
2000-07-01,Trabzonspor,TUR,1476.88
2000-07-01,Treviso,ITA,1555.5
2000-07-01,Troyes,FRA,1586.57
2000-07-01,Udinese,ITA,1777.44
2000-07-01,Unterhaching,GER,1623.52
2000-07-01,Valencia,ESP,1904.36
2000-07-01,Valladolid,ESP,1765.68
2000-07-01,Vallecano,ESP,1715.15
2000-07-01,Venezia,ITA,1607.65
2000-07-01,Verona,ITA,1688.23
2000-07-01,Vicenza,ITA,1641.72
2000-07-01,Villarreal,ESP,1651.91
2000-07-01,Watford,ENG,1503.84
2000-07-01,Werder Bremen,GER,1682.76
2000-07-01,West Brom,ENG,1437.82
2000-07-01,West Ham,ENG,1681.31
2000-07-01,Wolfsburg,GER,1667.58
2000-07-01,Wolves,ENG,1561.44
2000-07-01,Zaragoza,ESP,1847.78
2000-07-15,Aachen,GER,1453.6
2000-07-15,Adanaspor,TUR,1380.76
2000-07-15,Ajaccio,FRA,1470.87
2000-07-15,Alaves,ESP,1773.22
2000-07-15,Albacete,ESP,1578.79
2000-07-15,Ancona,ITA,1466.99
2000-07-15,Angers,FRA,1422.21
2000-07-15,Antalyaspor,TUR,1370.64
2000-07-15,Arsenal,ENG,1871.66
2000-07-15,Aston Villa,ENG,1728.15
2000-07-15,Atalanta,ITA,1631.75
2000-07-15,Ath Bilbao,ESP,1778.66
2000-07-15,Ath Madrid,ESP,1713.55
2000-07-15,Auxerre,FRA,1635.58
2000-07-15,Barcelona,ESP,1887.37
2000-07-15,Bari,ITA,1659.61
2000-07-15,Bastia,FRA,1656.37
2000-07-15,Bayern Munich,GER,1867.24
2000-07-15,Besiktas,TUR,1617.19
2000-07-15,Betis,ESP,1711.35
2000-07-15,Bielefeld,GER,1600.83
2000-07-15,Birmingham,ENG,1560.75
2000-07-15,Blackburn,ENG,1527.02
2000-07-15,Bochum,GER,1587.32
2000-07-15,Bologna,ITA,1705.3
2000-07-15,Bolton,ENG,1574.41
2000-07-15,Bordeaux,FRA,1734.34
2000-07-15,Bradford,ENG,1578.67
2000-07-15,Brescia,ITA,1618.26
2000-07-15,Burnley,ENG,1416.38
2000-07-15,Bursaspor,TUR,1375.3
2000-07-15,Caen,FRA,1521.6
2000-07-15,Cagliari,ITA,1606.65
2000-07-15,Celta,ESP,1810.33
2000-07-15,Charlton,ENG,1608.72
2000-07-15,Chelsea,ENG,1800.12
2000-07-15,Chievo,ITA,1535.41
2000-07-15,Cordoba,ESP,1540.15
2000-07-15,Cottbus,GER,1547.35
2000-07-15,Coventry,ENG,1635.56
2000-07-15,Crotone,ITA,1466.99
2000-07-15,Crystal Palace,ENG,1461.2
2000-07-15,Denizlispor,TUR,1365.52
2000-07-15,Derby,ENG,1636.03
2000-07-15,Dortmund,GER,1646.19
2000-07-15,Duisburg,GER,1553.58
2000-07-15,Eibar,ESP,1576.33
2000-07-15,Ein Frankfurt,GER,1643.06
2000-07-15,Elche,ESP,1531.62
2000-07-15,Empoli,ITA,1559.98
2000-07-15,Erzurumspor,TUR,1340.97
2000-07-15,Espanol,ESP,1785.89
2000-07-15,Everton,ENG,1685.5
2000-07-15,FC Koln,GER,1580.98
2000-07-15,Fenerbahce,TUR,1558.18
2000-07-15,Fiorentina,ITA,1805.0
2000-07-15,Freiburg,GER,1618.1
2000-07-15,Fulham,ENG,1487.33
2000-07-15,Galatasaray,TUR,1766.41
2000-07-15,Gaziantepspor,TUR,1494.91
2000-07-15,Genclerbirligi,TUR,1478.22
2000-07-15,Genoa,ITA,1595.12
2000-07-15,Getafe,ESP,1502.74
2000-07-15,Greuther Furth,GER,1512.87
2000-07-15,Guingamp,FRA,1578.51
2000-07-15,Hamburg,GER,1716.3
2000-07-15,Hannover,GER,1504.93
2000-07-15,Hansa Rostock,GER,1631.68
2000-07-15,Hertha,GER,1663.24
2000-07-15,Huddersfield,ENG,1495.81
2000-07-15,Inter,ITA,1794.38
2000-07-15,Ipswich,ENG,1638.03
2000-07-15,Istanbulspor,TUR,1386.25
2000-07-15,Juventus,ITA,1852.32
2000-07-15,Kaiserslautern,GER,1669.8
2000-07-15,Kocaelispor,TUR,1384.14
2000-07-15,La Coruna,ESP,1844.94
2000-07-15,Las Palmas,ESP,1652.88
2000-07-15,Lazio,ITA,1894.08
2000-07-15,Le Havre,FRA,1578.0
2000-07-15,Le Mans,FRA,1477.89
2000-07-15,Lecce,ITA,1635.02
2000-07-15,Leeds,ENG,1782.38
2000-07-15,Leganes,ESP,1572.61
2000-07-15,Leicester,ENG,1687.84
2000-07-15,Lens,FRA,1730.89
2000-07-15,Levante,ESP,1549.41
2000-07-15,Leverkusen,GER,1822.45
2000-07-15,Lille,FRA,1630.81
2000-07-15,Liverpool,ENG,1770.1
2000-07-15,Lorient,FRA,1491.14
2000-07-15,Lyon,FRA,1702.6
2000-07-15,Mainz,GER,1504.53
2000-07-15,Malaga,ESP,1736.42
2000-07-15,Mallorca,ESP,1800.35
2000-07-15,Man City,ENG,1579.94
2000-07-15,Man United,ENG,1931.9
2000-07-15,Marseille,FRA,1686.34
2000-07-15,Metz,FRA,1673.11
2000-07-15,MGladbach,GER,1580.48
2000-07-15,Middlesbrough,ENG,1679.13
2000-07-15,Milan,ITA,1841.61
2000-07-15,Monaco,FRA,1778.03
2000-07-15,Montpellier,FRA,1606.0
2000-07-15,Monza,ITA,1536.85
2000-07-15,Munich 1860,GER,1671.74
2000-07-15,Murcia,ESP,1470.87
2000-07-15,Nancy,FRA,1633.8
2000-07-15,Nantes,FRA,1664.36
2000-07-15,Napoli,ITA,1598.18
2000-07-15,Newcastle,ENG,1712.14
2000-07-15,Nice,FRA,1518.06
2000-07-15,Nimes,FRA,1449.91
2000-07-15,Norwich,ENG,1464.67
2000-07-15,Nottm Forest,ENG,1512.09
2000-07-15,Numancia,ESP,1690.13
2000-07-15,Nurnberg,GER,1579.35
2000-07-15,Osasuna,ESP,1615.91
2000-07-15,Oviedo,ESP,1723.45
2000-07-15,Paris SG,FRA,1714.89
2000-07-15,Parma,ITA,1793.02
2000-07-15,Perugia,ITA,1658.87
2000-07-15,Pescara,ITA,1563.65
2000-07-15,Piacenza,ITA,1598.04
2000-07-15,Portsmouth,ENG,1439.73
2000-07-15,QPR,ENG,1509.88
2000-07-15,Real Madrid,ESP,1884.02
2000-07-15,Recreativo,ESP,1523.14
2000-07-15,Reggina,ITA,1654.99
2000-07-15,Rennes,FRA,1644.99
2000-07-15,Rizespor,TUR,1316.39
2000-07-15,Roma,ITA,1791.52
2000-07-15,Salernitana,ITA,1572.4
2000-07-15,Sampdoria,ITA,1631.84
2000-07-15,Samsunspor,TUR,1429.96
2000-07-15,Santander,ESP,1754.87
2000-07-15,Schalke 04,GER,1626.21
2000-07-15,Sedan,FRA,1624.22
2000-07-15,Sevilla,ESP,1625.98
2000-07-15,Sheffield United,ENG,1462.72
2000-07-15,Siena,ITA,1466.99
2000-07-15,Siirt Jet-PA,TUR,1316.39
2000-07-15,Sochaux,FRA,1575.12
2000-07-15,Sociedad,ESP,1777.34
2000-07-15,Southampton,ENG,1629.97
2000-07-15,Sp Gijon,ESP,1590.28
2000-07-15,St Etienne,FRA,1620.74
2000-07-15,St Pauli,GER,1495.55
2000-07-15,Strasbourg,FRA,1642.51
2000-07-15,Stuttgart,GER,1650.61
